0:      -1.36992 * 2^-1310370    / -1.74623 * 2^-1336159
35:     1.16916 * 2^-865825      / 1.61713 * 2^-1366116
36:     1.44703 * 2^-1329084     / -1.59185 * 2^-1512832
37:     -1.53592 * 2^-1491080    / 1.10041 * 2^-806351
38:     -1.36148 * 2^-1383253    / 1.41939 * 2^-1421905
39:     -1.33796 * 2^-605880     / 1.22232 * 2^-1513342
40:     1.1063 * 2^-1391281      / -1.4965 * 2^-1334723
41:     -1.7345 * 2^-1507420     / -1.16778 * 2^-1473302
42:     1.69669 * 2^-1509173     / -1.57056 * 2^-851938
43:     -1.55208 * 2^-1513220    / -1.23067 * 2^-905271
44:     1.22015 * 2^-1241937     / 1.23085 * 2^-861195
45:     -1.28128 * 2^-1478514    / 1.63585 * 2^-1378176
46:     -1.61118 * 2^-1513731    / 1.42986 * 2^-862723
47:     1.54935 * 2^-1472387     / 1.68639 * 2^-1364600
48:     1.00384 * 2^-1427360     / -1.61558 * 2^-1457151
49:     -1.30805 * 2^-1491075    / 1.18419 * 2^-1509567
50:     1.41598 * 2^-1500252     / 1.01071 * 2^-1066971
51:     -1.17796 * 2^-924775     / 1.4898 * 2^-1514450
52:     -1.06761 * 2^-862557     / -1.03312 * 2^-1501004
53:     1.2316 * 2^-1179531      / -1.13072 * 2^-1451477
54:     -1.04243 * 2^-1511824    / -1.2834 * 2^-1444158
55:     1.32691 * 2^-1503798     / -1.95466 * 2^-629800
56:     -1.00172 * 2^-508358     / 1.59455 * 2^-1246705
57:     1.01197 * 2^-1485566     / 1.0102 * 2^-1489809
58:     1.53005 * 2^-1469527     / -1.79723 * 2^-1167869
59:     1.49614 * 2^-1495223     / -1.08452 * 2^-1396117
60:     1.01047 * 2^-1077750     / -1.37414 * 2^-1512783
61:     1.52666 * 2^-1511180     / 1.37395 * 2^-1512939
62:     1.22408 * 2^-1172075     / -1.8336 * 2^-703198
63:     1.20434 * 2^-1513280     / 1.25127 * 2^-1490374
64:     -1.13042 * 2^-1504445    / 1.6663 * 2^-1162573
65:     1.67971 * 2^-1399564     / 1.42843 * 2^-1201467
66:     -1.76786 * 2^-1382458    / 1.38273 * 2^-758703
67:     -1.39068 * 2^-1512329    / -1.1164 * 2^-1055070
68:     1.07658 * 2^-1457988     / 1.87194 * 2^-1465952
69:     -1.48113 * 2^-1295416    / -1.06311 * 2^-1512851
70:     1.17773 * 2^-1393787     / -1.76133 * 2^-542224
71:     1.30221 * 2^-1407284     / 1.43063 * 2^-1002919
72:     1.49438 * 2^-1351623     / -1.44212 * 2^-1423339
73:     1.24418 * 2^-1443852     / -1.81203 * 2^-894588
74:     -1.13118 * 2^-1189106    / 1.64234 * 2^-1251794
75:     1.53164 * 2^-1251735     / -1.08038 * 2^-1506401
76:     1.28486 * 2^-1442562     / -1.09871 * 2^-1506098
77:     1.8463 * 2^-1237993      / -1.10137 * 2^-1143834
78:     -1.95624 * 2^-1483864    / 1.38376 * 2^-1280979
79:     -1.13805 * 2^-823823     / -1.89397 * 2^-776850
80:     -1.83718 * 2^-1440774    / -1.24507 * 2^-850282
81:     1.04281 * 2^-1385701     / -1.39626 * 2^-879783
82:     -1.04594 * 2^-1337970    / -1.64927 * 2^-1369573
83:     -1.40374 * 2^-1486315    / -1.69015 * 2^-646203
84:     1.3687 * 2^-1445790      / 1.06717 * 2^-1079617
85:     -1.92326 * 2^-1069513    / 1.38503 * 2^-1066643
86:     -1.69323 * 2^-1465705    / 1.73772 * 2^-1512924
87:     1.3412 * 2^-1487205      / 1.07156 * 2^-1012235
88:     -1.58091 * 2^-1512672    / 1.79249 * 2^-1177336
89:     -1.88084 * 2^-1474151    / -1.19359 * 2^-1158416
90:     -1.89287 * 2^-802267     / 1.66063 * 2^-1340916
91:     1.02798 * 2^-1460000     / 1.12564 * 2^-1174022
92:     -1.22773 * 2^-1342405    / 1.13967 * 2^-1433843
93:     1.04521 * 2^-1475108     / 1.12751 * 2^-1146749
94:     -1.01651 * 2^-1479736    / -1.08899 * 2^-1498213
95:     1.08866 * 2^-841257      / 1.43911 * 2^-1466665
96:     1.51079 * 2^-1333696     / 1.50868 * 2^-1239100
97:     1.29421 * 2^-1277203     / -1.02504 * 2^-1493815
98:     1.61967 * 2^-1511215     / -1.43365 * 2^-1192528
99:     1.89408 * 2^-1027345     / -1.81634 * 2^-1415914
100:    -1.31925 * 2^-1250986    / 1.77288 * 2^-1431934
1048476:        -1.37762 * 2^-1508548    / 1.957 * 2^-1482168
1048477:        1.33798 * 2^-1174387     / 1.68982 * 2^-1221654
1048478:        1.44737 * 2^-846939      / -1.52345 * 2^-1499310
1048479:        1.69639 * 2^-1056086     / -1.69343 * 2^-1075366
1048480:        1.89193 * 2^-1185379     / 1.31811 * 2^-1510417
1048481:        1.42865 * 2^-1275694     / 1.24385 * 2^-1289774
1048482:        1.12415 * 2^-1416415     / 1.38319 * 2^-967629
1048483:        1.0892 * 2^-1330442      / 1.77764 * 2^-1441684
1048484:        1.57154 * 2^-1507520     / -1.71987 * 2^-1310636
1048485:        -1.61162 * 2^-1481085    / -1.37322 * 2^-1412574
1048486:        -1.44261 * 2^-1043364    / -1.02191 * 2^-1428494
1048487:        1.43527 * 2^-646546      / -1.02725 * 2^-1386751
1048488:        -1.99183 * 2^-1220377    / 1.54845 * 2^-771219
1048489:        1.45503 * 2^-924864      / 1.49128 * 2^-1142541
1048490:        1.22764 * 2^-1267220     / -1.29713 * 2^-1406997
1048491:        1.50338 * 2^-1151165     / -1.07675 * 2^-1317321
1048492:        1.59906 * 2^-785948      / 1.60354 * 2^-1245477
1048493:        -1.70464 * 2^-1032886    / -1.43653 * 2^-550649
1048494:        1.01411 * 2^-898942      / -1.37086 * 2^-1511904
1048495:        1.15558 * 2^-763451      / -1.5354 * 2^-562884
1048496:        1.01294 * 2^-535881      / -1.64442 * 2^-1231741
1048497:        1.54447 * 2^-1427987     / -1.61298 * 2^-1510854
1048498:        -1.26197 * 2^-1144368    / 1.48434 * 2^-1478773
1048499:        1.92765 * 2^-964861      / 1.01609 * 2^-1295579
1048500:        -1.27091 * 2^-1464800    / 1.29287 * 2^-1357338
1048501:        -1.90827 * 2^-1361727    / 1.59697 * 2^-1486970
1048502:        1.30959 * 2^-1003051     / 1.38049 * 2^-1483025
1048503:        -1.8281 * 2^-1399963     / -1.34101 * 2^-1514235
1048504:        -1.03043 * 2^-1464226    / 1.41805 * 2^-1131249
1048505:        -1.45396 * 2^-1230956    / -1.08769 * 2^-1456999
1048506:        1.08227 * 2^-1371572     / 1.17131 * 2^-820480
1048507:        1.17672 * 2^-1305785     / -1.33876 * 2^-1434342
1048508:        -1.79251 * 2^-933333     / -1.79031 * 2^-1383213
1048509:        -1.38113 * 2^-1380034    / -1.56642 * 2^-1044695
1048510:        -1.91456 * 2^-972580     / -1.02938 * 2^-1506348
1048511:        -1.58472 * 2^-1420539    / -1.63277 * 2^-1501024
1048512:        1.58104 * 2^-1507279     / 1.02395 * 2^-851124
1048513:        -1.49358 * 2^-1369501    / 1.87787 * 2^-1300011
1048514:        -1.65345 * 2^-1086382    / -1.08066 * 2^-1512956
1048515:        -1.74075 * 2^-1513219    / 1.80884 * 2^-904107
1048516:        1.18915 * 2^-914776      / -1.78953 * 2^-1068261
1048517:        1.11259 * 2^-1471862     / -1.19218 * 2^-1508271
1048518:        1.27153 * 2^-1496393     / 1.8803 * 2^-1179781
1048519:        1.03805 * 2^-679981      / -1.46035 * 2^-1503275
1048520:        -1.02417 * 2^-1508968    / -1.84445 * 2^-1496079
1048521:        1.7634 * 2^-947317       / -1.1386 * 2^-1512647
1048522:        -1.0846 * 2^-1388976     / 1.42174 * 2^-1001648
1048523:        -1.29288 * 2^-1489270    / -1.1839 * 2^-667755
1048524:        -1.38066 * 2^-1063694    / 1.87107 * 2^-1458192
1048525:        1.15457 * 2^-1080909     / -1.50273 * 2^-1004776
1048526:        1.0759 * 2^-1314664      / 1.45443 * 2^-1366471
1048527:        1.00701 * 2^-909536      / -1.77778 * 2^-996269
1048528:        -1.81046 * 2^-1508176    / -1.62148 * 2^-1456201
1048529:        1.01434 * 2^-1287995     / -1.36899 * 2^-1508842
1048530:        -1.13905 * 2^-681300     / -1.56271 * 2^-842271
1048531:        -1.04266 * 2^-1259388    / -1.67954 * 2^-1473428
1048532:        1.67809 * 2^-937606      / -1.13995 * 2^-1338540
1048533:        -1.64341 * 2^-1400648    / -1.13966 * 2^-1497346
1048534:        -1.20604 * 2^-465206     / -1.96245 * 2^-1435525
1048535:        -1.79496 * 2^-1351574    / 1.84767 * 2^-517389
1048536:        1.78126 * 2^-1486688     / -1.0531 * 2^-1413021
1048537:        -1.8989 * 2^-1369970     / 1.79263 * 2^-1498369
1048538:        1.36835 * 2^-1301766     / -1.36068 * 2^-1230769
1048539:        -1.43267 * 2^-1508524    / 1.56577 * 2^-1480239
1048540:        -1.31371 * 2^-1324211    / -1.78656 * 2^-1447448
1048541:        -1.41576 * 2^-1218126    / 1.52336 * 2^-497151
1048542:        1.22319 * 2^-1068479     / -1.48173 * 2^-1413428
1048543:        1.1765 * 2^-1514139      / -1.16344 * 2^-1454259
1048544:        -1.07958 * 2^-1463327    / 1.49265 * 2^-1365490
1048545:        1.61496 * 2^-1494006     / -1.09659 * 2^-1434056
1048546:        -1.63815 * 2^-1198962    / -1.25562 * 2^-655931
1048547:        -1.77815 * 2^-1503699    / 1.91824 * 2^-1438078
1048548:        -1.57877 * 2^-1468381    / -1.21258 * 2^-877776
1048549:        1.47569 * 2^-1340545     / 1.23844 * 2^-1247588
1048550:        -1.56614 * 2^-1494699    / -1.78994 * 2^-882569
1048551:        -1.12195 * 2^-1480792    / 1.23624 * 2^-1451737
1048552:        1.35198 * 2^-710300      / -1.05213 * 2^-1445836
1048553:        -1.27363 * 2^-1023829    / -1.1613 * 2^-1322800
1048554:        1.67238 * 2^-995193      / 1.513 * 2^-1415108
1048555:        -1.49678 * 2^-1175278    / -1.87366 * 2^-490386
1048556:        -1.01449 * 2^-1462529    / 1.13243 * 2^-1507108
1048557:        1.49403 * 2^-1040639     / -1.14182 * 2^-1105130
1048558:        1.05713 * 2^-1106791     / 1.86059 * 2^-1240715
1048559:        1.37553 * 2^-1314315     / 1.89391 * 2^-1442901
1048560:        -1.06279 * 2^-1257765    / -1.42505 * 2^-1469706
1048561:        1.56516 * 2^-1448825     / -1.29642 * 2^-1410086
1048562:        -1.9266 * 2^-1094531     / -1.80239 * 2^-876381
1048563:        -1.33842 * 2^-1514354    / -1.89038 * 2^-1511591
1048564:        1.55138 * 2^-1512466     / -1.85433 * 2^-1307609
1048565:        1.29459 * 2^-1369752     / 1.19947 * 2^-952049
1048566:        1.57738 * 2^-1484018     / 1.06647 * 2^-873907
1048567:        1.31418 * 2^-1411950     / -1.14783 * 2^-1497947
1048568:        -1.13943 * 2^-1505736    / 1.14302 * 2^-1424975
1048569:        -1.76234 * 2^-1120195    / -1.36845 * 2^-1282110
1048570:        -1.73104 * 2^-1277479    / 1.29754 * 2^-1365129
1048571:        -1.99453 * 2^-1290180    / -1.87091 * 2^-552869
1048572:        -1.30148 * 2^-1308546    / -1.13792 * 2^-1435064
1048573:        1.0797 * 2^-1183079      / -1.00748 * 2^-709240
1048574:        1.67175 * 2^-828543      / -1.14802 * 2^-1509404
1048575:        -1.25116 * 2^-899297     / 1.17489 * 2^-1378487
